"tau..0.1","tau..0.2","tau..0.3","tau..0.4","tau..0.5","tau..0.6","tau..0.7","tau..0.8","tau..0.9"
"regression_xd43d28",-1761.08278822526,-619.040128031822,-2726.60558582959,-513.440540552067,541.415481948301,1734.42825847941,815.458495271658,-452.879352778834,7107.31152631102
"regression_xd43d29",-3904.53980357195,-3869.19170635574,-3610.33167019758,-1294.23590103415,394.991016630673,341.785091502466,432.038338454549,1019.26232949846,9078.86893518395
"regression_xd43d210",-4784.88100880654,-2232.37039080742,-4718.98826450956,-6003.01891472609,-10652.8358334444,-10761.2358612159,-10704.176781049,-10960.1510644446,3559.70816975858
"regression_xd43d211",-3714.2853104417,-2912.26266634228,-3093.33605087495,-3281.5507667019,-3984.08756016341,-5410.37873959765,-5888.84190817898,-11795.8679028311,-3711.12022973661
"regression_xarea_square",2.11920330598507,1.77199176045603,0.93614356726303,1.46230620744994,2.82170557603116,2.2795604992902,1.61617637988759,1.68051771156552,10.0115058321294
"regression_xarea2d21",7.28667107894943,7.01557182622331,9.00440283203683,4.72787143555874,0.94488390301368,-0.497397471922801,-3.90528874413866,-7.48214117457484,-23.4148473039289
"regression_xarea2d22",-2.18028175766656,-1.83973584797438,-1.01249850824379,-1.54385649691904,-2.90967396809348,-2.3739225766475,-1.71580476978293,-1.78558977528398,-10.1302445981672
"regression_xarea2d23",0.288207996408565,0.38159749430482,5.08659625492874,4.44236348066549,2.6950581907404,2.66759313707325,3.22688077010497,2.63653419140293,-7.56737854251726
"regression_xarea2d24",1.71306312492345,3.82639900363362,6.48667867845742,5.55694244168164,3.75525093427661,8.21964205312528,11.4803564510063,13.3335229422127,1.46141025180536
"regression_xarea2d25",-1.77401890814586,-2.57282443095781,-4.6492240121324,-6.85106084214527,-8.57303670365625,-7.60628535838131,-5.76935729547598,-7.39245935472416,-6.82003901733748
"regression_xarea2d26",2.77406408631534,2.08532016173729,2.24160072389466,0.237732359003627,-1.36809203855192,-1.20185793608,1.22798177474632,7.38685818706771,0.750008339727271
"regression_xarea2d27",-0.745341975408719,-0.70552024361019,-0.184874924764547,-0.672406830300899,-2.03842460429548,-3.70380819589585,-0.400050150630187,-0.114820085434193,-9.02745712754868
"regression_xarea2d28",-0.462418342301986,-0.0764356296071255,1.89143336539077,1.40290666066449,-0.482600229004781,-0.45375681088103,0.269023935648223,1.14165830183122,-8.5398594546243
"regression_xarea2d29",-2.22974799916879,-1.91126411613615,-1.12885509301746,-1.71390154455114,-3.11856713044966,-2.60865022539645,-2.00816941371957,-2.15793192751068,-10.6090388212818
"regression_xarea2d210",-2.34587253033178,-2.08255788047696,0.208253392954631,2.49826977494584,6.08209630070673,8.17679588225471,9.56268869176849,10.9314507707713,0.141205416970677
"regression_xarea2d211",-1.02483102118266,-1.17695101702159,0.164846547828776,1.39541978994826,0.0319645698743294,1.69084644278131,2.90758760657482,16.0572301913014,7.04211440557954
